ordernumber,quantityordered,price,orderlinenumber,sales,orderdate,status,productline,msrp,productcode,customername,city,postalcode,country,territory,contactlastname,contactfirstname,dealsize,quarter,year,Phonenumber,Address
10149,24,62.36,10,1496.6399999999999,2003-09-12,Shipped,Vintage Cars,60,182248,Signal Collectibles Ltd.,Brisbane,94217,USA,,Taylor,Sue,Small,Q3,2003,4155554312,2793 Furth Circle
10162,27,69.62,8,1879.7400000000002,2003-10-18,Shipped,Vintage Cars,60,182248,Corporate Gift Ideas Co.,San Francisco,,USA,,Brown,Julie,Small,Q4,2003,6505551386,7734 Strong St 
10173,26,57.51,12,1495.26,2003-11-05,Shipped,Vintage Cars,60,182248,Rovelli Gifts,Bergamo,24100,Italy,EMEA,Rovelli,Giovanni,Small,Q4,2003,035640555,Via Ludovico il Moro 22
10182,38,61.15,9,2323.7,2003-11-12,Shipped,Vintage Cars,60,182248,Mini Gifts Distributors Ltd.,San Rafael,97562,USA,,Nelson,Valarie,Small,Q4,2003,4155551450,5677 Strong St 
10193,42,59.33,13,2491.86,2003-11-21,Shipped,Vintage Cars,60,182248,"Australian Collectables, Ltd",Glen Waverly,3150,Australia,APAC,Connery,Sean,Small,Q4,2003,61938446555,7 Allen Street
10204,23,71.44,3,1643.12,2003-12-02,Shipped,Vintage Cars,60,182248,Muscle Machine Inc,NYC,10022,USA,,Young,Jeff,Small,Q4,2003,2125557413,4092 Furth Circle
10214,21,62.96,6,1322.16,2004-01-26,Shipped,Vintage Cars,60,182248,"Corrida Auto Replicas, Ltd",Madrid,28023,Spain,EMEA,Sommer,Mart¡n,Small,Q1,2004,915552282,  Araquil  67
10227,28,50.85,9,1423.8,2004-03-02,Shipped,Vintage Cars,60,182248,"Saveley & Henriot, Co.",Lyon,69004,France,EMEA,Saveley,Mary,Small,Q1,2004,78325555,2  rue du Commerce
10241,33,72.65,1,2397.4500000000003,2004-04-13,Shipped,Vintage Cars,60,182248,Mini Caravy,Strasbourg,67000,France,EMEA,Citeaux,Frederique,Small,Q2,2004,88601555,24  place Kluber
10280,25,62.96,15,1574.0,2004-08-17,Shipped,Vintage Cars,60,182248,Amica Models & Co.,Torino,10100,Italy,EMEA,Accorti,Paolo,Small,Q3,2004,0114988555,Via Monte Bianco 34
10288,28,61.75,4,1729.0,2004-09-01,Shipped,Vintage Cars,60,182248,Handji Gifts& Co,Singapore,69045,Singapore,APAC,Victorino,Wendy,Small,Q3,2004,652241555,Village Close - 106 Linden Road Sandown
10303,46,49.04,2,2255.84,2004-10-06,Shipped,Vintage Cars,60,182248,"Iberia Gift Imports, Corp.",Sevilla,41101,Spain,EMEA,Roel,Jose Pedro,Small,Q4,2004,955558282,  Romero  33
10312,30,61.15,16,1834.5,2004-10-21,Shipped,Vintage Cars,60,182248,Mini Gifts Distributors Ltd.,San Rafael,97562,USA,,Nelson,Valarie,Small,Q4,2004,4155551450,5677 Strong St 
10332,38,84.25,9,3201.5,2004-11-17,Shipped,Vintage Cars,60,182248,"AV Stores, Co.",Manchester,25,UK,EMEA,Ashworth,Victoria,Medium,Q4,2004,1715551555,Fauntleroy Circus
10344,40,56.91,2,2276.3999999999996,2004-11-25,Shipped,Vintage Cars,60,182248,Marseille Mini Autos,Marseille,13008,France,EMEA,Lebihan,Laurence,Small,Q4,2004,91244555,12  rue des Bouchers
10367,45,100.0,4,4500.0,2005-01-12,Resolved,Vintage Cars,60,182248,Toys4GrownUps.com,Pasadena,90003,USA,,Young,Julie,Large,Q1,2005,6265557265,78934 Hillside Dr 
10379,27,49.3,1,1331.1,2005-02-10,Shipped,Vintage Cars,60,182248,Euro Shopping Channel,Madrid,28034,Spain,EMEA,Freyre,Diego,Small,Q1,2005,915559444,  Moralzarzal  86
10407,42,72.65,1,3051.3,2005-04-22,On Hold,Vintage Cars,60,182248,The Sharp Gifts Warehouse,San Jose,94217,USA,,Frick,Sue,Medium,Q2,2005,4085553659,3086 Ingle Ln 
10420,36,63.57,4,2288.52,2005-05-29,In Process,Vintage Cars,60,182248,Souveniers And Things Co.,Chatswood,2067,Australia,APAC,Huxley,Adrian,Small,Q2,2005,61294958555,Monitor Money Building  815 Pacific Hwy
10104,29,100.0,12,2900.0,2003-01-31,Shipped,Trucks and Buses,122,182319,Euro Shopping Channel,Madrid,28034,Spain,EMEA,Freyre,Diego,Medium,Q1,2003,915559444,  Moralzarzal  86
10114,39,100.0,3,3900.0,2003-04-01,Shipped,Trucks and Buses,122,182319,"La Corne D'abondance, Co.",Paris,75012,France,EMEA,Bertrand,Marie,Medium,Q2,2003,142342555,265  boulevard Charonne
10127,45,100.0,14,4500.0,2003-06-03,Shipped,Trucks and Buses,122,182319,Muscle Machine Inc,NYC,10022,USA,,Young,Jeff,Medium,Q2,2003,2125557413,4092 Furth Circle
10141,47,100.0,8,4700.0,2003-08-01,Shipped,Trucks and Buses,122,182319,Suominen Souveniers,Espoo,02271,Finland,EMEA,Suominen,Kalle,Medium,Q3,2003,35898045555,Software Engineering Center  SEC Oy
10151,49,100.0,6,4900.0,2003-09-21,Shipped,Trucks and Buses,122,182319,"Oulu Toy Supplies, Inc.",Oulu,90110,Finland,EMEA,Koskitalo,Pirkko,Medium,Q3,2003,981443655,Torikatu 38
10165,46,100.0,15,4600.0,2003-10-22,Shipped,Trucks and Buses,122,182319,"Dragon Souveniers, Ltd.",Singapore,79903,Singapore,JP,Natividad,Eric,Medium,Q4,2003,652217555,Bronz Sok   Bronz Apt  3 6 Tesvikiye
10175,48,100.0,4,4800.0,2003-11-06,Shipped,Trucks and Buses,122,182319,"Stylish Desk Decors, Co.",London,36,UK,EMEA,Brown,Ann,Medium,Q4,2003,1715550297,35 King George
10184,46,100.0,9,4600.0,2003-11-14,Shipped,Trucks and Buses,122,182319,"Iberia Gift Imports, Corp.",Sevilla,41101,Spain,EMEA,Roel,Jose Pedro,Medium,Q4,2003,955558282,  Romero  33
10195,35,100.0,9,3500.0,2003-11-25,Shipped,Trucks and Buses,122,182319,Mini Classics,White Plains,24067,USA,,Frick,Steve,Medium,Q4,2003,9145554562,3758 North Pendale Street
10207,43,100.0,10,4300.0,2003-12-09,Shipped,Trucks and Buses,122,182319,Diecast Collectables,Boston,51003,USA,,Franco,Valarie,Medium,Q4,2003,6175552555,6251 Ingle Ln 
10229,26,100.0,4,2600.0,2004-03-11,Shipped,Trucks and Buses,122,182319,Mini Gifts Distributors Ltd.,San Rafael,97562,USA,,Nelson,Valarie,Medium,Q1,2004,4155551450,5677 Strong St 
10246,22,98.18,8,2159.96,2004-05-05,Shipped,Trucks and Buses,122,182319,Euro Shopping Channel,Madrid,28034,Spain,EMEA,Freyre,Diego,Small,Q2,2004,915559444,  Moralzarzal  86
10259,34,99.41,7,3379.94,2004-06-15,Shipped,Trucks and Buses,122,182319,Handji Gifts& Co,Singapore,69045,Singapore,APAC,Victorino,Wendy,Medium,Q2,2004,652241555,Village Close - 106 Linden Road Sandown
10271,50,100.0,8,5000.0,2004-07-20,Shipped,Trucks and Buses,122,182319,Mini Gifts Distributors Ltd.,San Rafael,97562,USA,,Nelson,Valarie,Medium,Q3,2004,4155551450,5677 Strong St 
10281,48,100.0,4,4800.0,2004-08-19,Shipped,Trucks and Buses,122,182319,Diecast Classics Inc.,Allentown,70267,USA,,Yu,Kyung,Medium,Q3,2004,2155551555,7586 Pompton St 
10292,41,100.0,11,4100.0,2004-09-08,Shipped,Trucks and Buses,122,182319,Land of Toys Inc.,NYC,10022,USA,,Yu,Kwai,Medium,Q3,2004,2125557818,897 Long Airport Avenue
10305,36,100.0,8,3600.0,2004-10-13,Shipped,Trucks and Buses,122,182319,Marta's Replicas Co.,Cambridge,51247,USA,,Hernandez,Marta,Medium,Q4,2004,6175558555,39323 Spinnaker Dr 
10313,29,100.0,2,2900.0,2004-10-22,Shipped,Trucks and Buses,122,182319,Canadian Gift Exchange Network,Vancouver,321,Canada,,Tannamuri,Yoshi,Medium,Q4,2004,6045553392,1900 Oak St 
10324,33,37.48,10,1236.84,2004-11-05,Shipped,Trucks and Buses,122,182319,Vitachrome Inc.,NYC,10022,USA,,Frick,Michael,Small,Q4,2004,2125551500,2678 Kingston Rd 
10334,46,100.0,6,4600.0,2004-11-19,On Hold,Trucks and Buses,122,182319,"Volvo Model Replicas, Co",Lule,95822,Sweden,EMEA,Berglund,Christina,Medium,Q4,2004,0921123555,Berguvsv„gen  8
10349,38,100.0,7,3800.0,2004-12-01,Shipped,Trucks and Buses,122,182319,Muscle Machine Inc,NYC,10022,USA,,Young,Jeff,Medium,Q4,2004,2125557413,4092 Furth Circle
10358,20,36.42,11,728.4000000000001,2004-12-10,Shipped,Trucks and Buses,122,182319,Euro Shopping Channel,Madrid,28034,Spain,EMEA,Freyre,Diego,Small,Q4,2004,915559444,  Moralzarzal  86
10370,22,100.0,5,2200.0,2005-01-20,Shipped,Trucks and Buses,122,182319,"Anna's Decorations, Ltd",North Sydney,2060,Australia,APAC,O'Hara,Anna,Medium,Q1,2005,0299368555,201 Miller Street
10383,27,100.0,11,2700.0,2005-02-22,Shipped,Trucks and Buses,122,182319,Euro Shopping Channel,Madrid,28034,Spain,EMEA,Freyre,Diego,Medium,Q1,2005,915559444,  Moralzarzal  86
10412,56,98.18,8,5498.08,2005-05-03,Shipped,Trucks and Buses,122,182319,Euro Shopping Channel,Madrid,28034,Spain,EMEA,Freyre,Diego,Medium,Q2,2005,915559444,  Moralzarzal  86
10425,38,99.41,7,3777.58,2005-05-31,In Process,Trucks and Buses,122,182319,La Rochelle Gifts,Nantes,44000,France,EMEA,Labrune,Janine,Medium,Q2,2005,40678555,67  rue des Cinquante Otages
10101,25,100.0,4,2500.0,2003-01-09,Shipped,Vintage Cars,127,182325,"Blauer See Auto, Co.",Frankfurt,60528,Germany,EMEA,Keitel,Roland,Medium,Q1,2003,496966902555,Lyonerstr  34
10110,33,100.0,4,3300.0,2003-03-18,Shipped,Vintage Cars,127,182325,"AV Stores, Co.",Manchester,25,UK,EMEA,Ashworth,Victoria,Medium,Q1,2003,1715551555,Fauntleroy Circus
10124,42,100.0,3,4200.0,2003-05-21,Shipped,Vintage Cars,127,182325,Signal Gift Stores,Las Vegas,83030,USA,,King,Sue,Medium,Q2,2003,7025551838,8489 Strong St 
10149,33,100.0,8,3300.0,2003-09-12,Shipped,Vintage Cars,127,182325,Signal Collectibles Ltd.,Brisbane,94217,USA,,Taylor,Sue,Medium,Q3,2003,4155554312,2793 Furth Circle
10162,38,100.0,6,3800.0,2003-10-18,Shipped,Vintage Cars,127,182325,Corporate Gift Ideas Co.,San Francisco,,USA,,Brown,Julie,Medium,Q4,2003,6505551386,7734 Strong St 
10173,31,100.0,10,3100.0,2003-11-05,Shipped,Vintage Cars,127,182325,Rovelli Gifts,Bergamo,24100,Italy,EMEA,Rovelli,Giovanni,Medium,Q4,2003,035640555,Via Ludovico il Moro 22
10182,20,100.0,7,2000.0,2003-11-12,Shipped,Vintage Cars,127,182325,Mini Gifts Distributors Ltd.,San Rafael,97562,USA,,Nelson,Valarie,Small,Q4,2003,4155551450,5677 Strong St 
10193,44,100.0,11,4400.0,2003-11-21,Shipped,Vintage Cars,127,182325,"Australian Collectables, Ltd",Glen Waverly,3150,Australia,APAC,Connery,Sean,Medium,Q4,2003,61938446555,7 Allen Street
10204,26,100.0,1,2600.0,2003-12-02,Shipped,Vintage Cars,127,182325,Muscle Machine Inc,NYC,10022,USA,,Young,Jeff,Medium,Q4,2003,2125557413,4092 Furth Circle
10214,27,100.0,4,2700.0,2004-01-26,Shipped,Vintage Cars,127,182325,"Corrida Auto Replicas, Ltd",Madrid,28023,Spain,EMEA,Sommer,Mart¡n,Medium,Q1,2004,915552282,  Araquil  67
10227,46,100.0,7,4600.0,2004-03-02,Shipped,Vintage Cars,127,182325,"Saveley & Henriot, Co.",Lyon,69004,France,EMEA,Saveley,Mary,Large,Q1,2004,78325555,2  rue du Commerce
10243,47,100.0,2,4700.0,2004-04-26,Shipped,Vintage Cars,127,182325,Diecast Collectables,Boston,51003,USA,,Franco,Valarie,Medium,Q2,2004,6175552555,6251 Ingle Ln 
10280,37,100.0,13,3700.0,2004-08-17,Shipped,Vintage Cars,127,182325,Amica Models & Co.,Torino,10100,Italy,EMEA,Accorti,Paolo,Medium,Q3,2004,0114988555,Via Monte Bianco 34
10288,31,100.0,2,3100.0,2004-09-01,Shipped,Vintage Cars,127,182325,Handji Gifts& Co,Singapore,69045,Singapore,APAC,Victorino,Wendy,Medium,Q3,2004,652241555,Village Close - 106 Linden Road Sandown
10304,24,100.0,17,2400.0,2004-10-11,Shipped,Vintage Cars,127,182325,Auto Assoc. & Cie.,Versailles,78000,France,EMEA,Tonini,Daniel,Small,Q4,2004,30598555,67  avenue de l'Europe
10312,31,100.0,14,3100.0,2004-10-21,Shipped,Vintage Cars,127,182325,Mini Gifts Distributors Ltd.,San Rafael,97562,USA,,Nelson,Valarie,Medium,Q4,2004,4155551450,5677 Strong St 
10322,50,100.0,6,5000.0,2004-11-04,Shipped,Vintage Cars,127,182325,Online Diecast Creations Co.,Nashua,62005,USA,,Young,Valarie,Large,Q4,2004,6035558647,2304 Long Airport Avenue
10332,35,64.69,8,2264.15,2004-11-17,Shipped,Vintage Cars,127,182325,"AV Stores, Co.",Manchester,25,UK,EMEA,Ashworth,Victoria,Small,Q4,2004,1715551555,Fauntleroy Circus
10344,30,100.0,3,3000.0,2004-11-25,Shipped,Vintage Cars,127,182325,Marseille Mini Autos,Marseille,13008,France,EMEA,Lebihan,Laurence,Medium,Q4,2004,91244555,12  rue des Bouchers
10356,29,100.0,3,2900.0,2004-12-09,Shipped,Vintage Cars,127,182325,Lyon Souveniers,Paris,75508,France,EMEA,Da Cunha,Daniel,Medium,Q4,2004,33146627555,27 rue du Colonel Pierre Avia
10367,27,100.0,5,2700.0,2005-01-12,Resolved,Vintage Cars,127,182325,Toys4GrownUps.com,Pasadena,90003,USA,,Young,Julie,Medium,Q1,2005,6265557265,78934 Hillside Dr 
10380,40,100.0,10,4000.0,2005-02-16,Shipped,Vintage Cars,127,182325,Euro Shopping Channel,Madrid,28034,Spain,EMEA,Freyre,Diego,Medium,Q1,2005,915559444,  Moralzarzal  86
10390,31,98.99,16,3068.69,2005-03-04,Shipped,Vintage Cars,127,182325,Mini Gifts Distributors Ltd.,San Rafael,97562,USA,,Nelson,Valarie,Medium,Q1,2005,4155551450,5677 Strong St 
10409,6,100.0,2,600.0,2005-04-23,Shipped,Vintage Cars,127,182325,Handji Gifts& Co,Singapore,69045,Singapore,APAC,Victorino,Wendy,Small,Q2,2005,652241555,Village Close - 106 Linden Road Sandown
10420,45,100.0,2,4500.0,2005-05-29,In Process,Vintage Cars,127,182325,Souveniers And Things Co.,Chatswood,2067,Australia,APAC,Huxley,Adrian,Medium,Q2,2005,61294958555,Monitor Money Building  815 Pacific Hwy
10103,22,54.09,2,1189.98,2003-01-29,Shipped,Trucks and Buses,60,182432,Baane Mini Imports,Stavern,4110,Norway,EMEA,Bergulfsen,Jonas,Small,Q1,2003,07989555,Erling Skakkes gate 78
10114,45,68.67,6,3090.15,2003-04-01,Shipped,Trucks and Buses,60,182432,"La Corne D'abondance, Co.",Paris,75012,France,EMEA,Bertrand,Marie,Medium,Q2,2003,142342555,265  boulevard Charonne
10126,43,65.02,2,2795.8599999999997,2003-05-28,Shipped,Trucks and Buses,60,182432,"Corrida Auto Replicas, Ltd",Madrid,28023,Spain,EMEA,Sommer,Mart¡n,Small,Q2,2003,915552282,  Araquil  67
10140,46,61.99,2,2851.54,2003-07-24,Shipped,Trucks and Buses,60,182432,Technics Stores Inc.,Burlingame,94217,USA,,Hirano,Juri,Small,Q3,2003,6505556809,9408 Furth Circle
10151,39,69.28,9,2701.92,2003-09-21,Shipped,Trucks and Buses,60,182432,"Oulu Toy Supplies, Inc.",Oulu,90110,Finland,EMEA,Koskitalo,Pirkko,Small,Q3,2003,981443655,Torikatu 38
10165,31,71.1,18,2204.1,2003-10-22,Shipped,Trucks and Buses,60,182432,"Dragon Souveniers, Ltd.",Singapore,79903,Singapore,JP,Natividad,Eric,Small,Q4,2003,652217555,Bronz Sok   Bronz Apt  3 6 Tesvikiye
10175,41,69.28,7,2840.48,2003-11-06,Shipped,Trucks and Buses,60,182432,"Stylish Desk Decors, Co.",London,36,UK,EMEA,Brown,Ann,Small,Q4,2003,1715550297,35 King George
10184,44,60.16,12,2647.04,2003-11-14,Shipped,Trucks and Buses,60,182432,"Iberia Gift Imports, Corp.",Sevilla,41101,Spain,EMEA,Roel,Jose Pedro,Small,Q4,2003,955558282,  Romero  33
10194,45,70.49,2,3172.0499999999997,2003-11-25,Shipped,Trucks and Buses,60,182432,"Saveley & Henriot, Co.",Lyon,69004,France,EMEA,Saveley,Mary,Medium,Q4,2003,78325555,2  rue du Commerce
10207,37,69.89,13,2585.93,2003-12-09,Shipped,Trucks and Buses,60,182432,Diecast Collectables,Boston,51003,USA,,Franco,Valarie,Small,Q4,2003,6175552555,6251 Ingle Ln 
10217,35,61.38,2,2148.3,2004-02-04,Shipped,Trucks and Buses,60,182432,Handji Gifts& Co,Singapore,69045,Singapore,APAC,Victorino,Wendy,Small,Q1,2004,652241555,Village Close - 106 Linden Road Sandown
10229,28,59.55,7,1667.3999999999999,2004-03-11,Shipped,Trucks and Buses,60,182432,Mini Gifts Distributors Ltd.,San Rafael,97562,USA,,Nelson,Valarie,Small,Q1,2004,4155551450,5677 Strong St 
10246,30,61.99,11,1859.7,2004-05-05,Shipped,Trucks and Buses,60,182432,Euro Shopping Channel,Madrid,28034,Spain,EMEA,Freyre,Diego,Small,Q2,2004,915559444,  Moralzarzal  86
10259,30,49.22,10,1476.6,2004-06-15,Shipped,Trucks and Buses,60,182432,Handji Gifts& Co,Singapore,69045,Singapore,APAC,Victorino,Wendy,Small,Q2,2004,652241555,Village Close - 106 Linden Road Sandown
10271,25,69.28,11,1732.0,2004-07-20,Shipped,Trucks and Buses,60,182432,Mini Gifts Distributors Ltd.,San Rafael,97562,USA,,Nelson,Valarie,Small,Q3,2004,4155551450,5677 Strong St 
10281,29,57.73,7,1674.1699999999998,2004-08-19,Shipped,Trucks and Buses,60,182432,Diecast Classics Inc.,Allentown,70267,USA,,Yu,Kyung,Small,Q3,2004,2155551555,7586 Pompton St 
10291,26,57.73,2,1500.98,2004-09-08,Shipped,Trucks and Buses,60,182432,Scandinavian Gift Ideas,Boras,84467,Sweden,EMEA,Larsson,Maria,Small,Q3,2004,0695346555,?kergatan 24
10305,41,53.48,11,2192.68,2004-10-13,Shipped,Trucks and Buses,60,182432,Marta's Replicas Co.,Cambridge,51247,USA,,Hernandez,Marta,Small,Q4,2004,6175558555,39323 Spinnaker Dr 
10313,34,52.87,5,1797.58,2004-10-22,Shipped,Trucks and Buses,60,182432,Canadian Gift Exchange Network,Vancouver,321,Canada,,Tannamuri,Yoshi,Small,Q4,2004,6045553392,1900 Oak St 
10322,35,61.21,11,2142.35,2004-11-04,Shipped,Trucks and Buses,60,182432,Online Diecast Creations Co.,Nashua,62005,USA,,Young,Valarie,Small,Q4,2004,6035558647,2304 Long Airport Avenue
10334,34,61.38,1,2086.92,2004-11-19,On Hold,Trucks and Buses,60,182432,"Volvo Model Replicas, Co",Lule,95822,Sweden,EMEA,Berglund,Christina,Small,Q4,2004,0921123555,Berguvsv„gen  8
10347,50,100.0,8,5000.0,2004-11-29,Shipped,Trucks and Buses,60,182432,"Australian Collectors, Co.",Melbourne,3004,Australia,APAC,Ferguson,Peter,Medium,Q4,2004,0395204555,636 St Kilda Road
10357,41,61.99,7,2541.59,2004-12-10,Shipped,Trucks and Buses,60,182432,Mini Gifts Distributors Ltd.,San Rafael,97562,USA,,Nelson,Valarie,Small,Q4,2004,4155551450,5677 Strong St 
10370,22,96.86,7,2130.92,2005-01-20,Shipped,Trucks and Buses,60,182432,"Anna's Decorations, Ltd",North Sydney,2060,Australia,APAC,O'Hara,Anna,Small,Q1,2005,0299368555,201 Miller Street
10381,35,48.62,7,1701.6999999999998,2005-02-17,Shipped,Trucks and Buses,60,182432,Corporate Gift Ideas Co.,San Francisco,,USA,,Brown,Julie,Small,Q1,2005,6505551386,7734 Strong St 
10391,44,38.5,5,1694.0,2005-03-09,Shipped,Trucks and Buses,60,182432,"Anna's Decorations, Ltd",North Sydney,2060,Australia,APAC,O'Hara,Anna,Small,Q1,2005,0299368555,201 Miller Street
10412,47,61.99,11,2913.53,2005-05-03,Shipped,Trucks and Buses,60,182432,Euro Shopping Channel,Madrid,28034,Spain,EMEA,Freyre,Diego,Small,Q2,2005,915559444,  Moralzarzal  86
10425,19,49.22,10,935.18,2005-05-31,In Process,Trucks and Buses,60,182432,La Rochelle Gifts,Nantes,44000,France,EMEA,Labrune,Janine,Small,Q2,2005,40678555,67  rue des Cinquante Otages
10106,34,90.39,2,3073.26,2003-02-17,Shipped,Planes,84,182581,Rovelli Gifts,Bergamo,24100,Italy,EMEA,Rovelli,Giovanni,Medium,Q1,2003,035640555,Via Ludovico il Moro 22
10120,29,71.81,8,2082.4900000000002,2003-04-29,Shipped,Planes,84,182581,"Australian Collectors, Co.",Melbourne,3004,Australia,APAC,Ferguson,Peter,Small,Q2,2003,0395204555,636 St Kilda Road
10133,49,69.27,3,3394.23,2003-06-27,Shipped,Planes,84,182581,Euro Shopping Channel,Madrid,28034,Spain,EMEA,Freyre,Diego,Medium,Q2,2003,915559444,  Moralzarzal  86
10145,30,85.32,14,2559.6,2003-08-25,Shipped,Planes,84,182581,Toys4GrownUps.com,Pasadena,90003,USA,,Young,Julie,Small,Q3,2003,6265557265,78934 Hillside Dr 
10168,21,70.96,9,1490.1599999999999,2003-10-28,Shipped,Planes,84,182581,Technics Stores Inc.,Burlingame,94217,USA,,Hirano,Juri,Small,Q4,2003,6505556809,9408 Furth Circle
10210,50,76.88,7,3844.0,2004-01-12,Shipped,Planes,84,182581,Osaka Souveniers Co.,Osaka,5300003,Japan,JP,Kentary,Mory,Medium,Q1,2004,810663425555,Dojima Avanza 4F  1-6-20 Dojima  Kita-ku
10223,47,100.0,9,4700.0,2004-02-20,Shipped,Planes,84,182581,"Australian Collectors, Co.",Melbourne,3004,Australia,APAC,Ferguson,Peter,Medium,Q1,2004,0395204555,636 St Kilda Road
10235,24,76.03,3,1824.72,2004-04-02,Shipped,Planes,84,182581,"Royal Canadian Collectables, Ltd.",Tsawassen,284,Canada,,Lincoln,Elizabeth,Small,Q2,2004,6045554555,23 Tsawassen Blvd 
10250,27,98.84,4,2668.6800000000003,2004-05-11,Shipped,Planes,84,182581,The Sharp Gifts Warehouse,San Jose,94217,USA,,Frick,Sue,Small,Q2,2004,4085553659,3086 Ingle Ln 
10263,33,86.17,10,2843.61,2004-06-28,Shipped,Planes,84,182581,Gift Depot Inc.,Bridgewater,97562,USA,,King,Julie,Small,Q2,2004,2035552570,25593 South Bay Ln 
10275,35,90.39,9,3163.65,2004-07-23,Shipped,Planes,84,182581,La Rochelle Gifts,Nantes,44000,France,EMEA,Labrune,Janine,Medium,Q3,2004,40678555,67  rue des Cinquante Otages
10284,31,71.81,1,2226.11,2004-08-21,Shipped,Planes,84,182581,"Norway Gifts By Mail, Co.",Oslo,0106,Norway,EMEA,Klaeboe,Jan,Small,Q3,2004,4722121555,Drammensveien 126 A  PB 744 Sentrum
10297,25,82.79,4,2069.75,2004-09-16,Shipped,Planes,84,182581,"Clover Collections, Co.",Dublin,2,Ireland,EMEA,Cassidy,Dean,Small,Q3,2004,35318621555,25 Maiden Lane
10308,27,82.79,7,2235.3300000000004,2004-10-15,Shipped,Planes,84,182581,Mini Classics,White Plains,24067,USA,,Frick,Steve,Small,Q4,2004,9145554562,3758 North Pendale Street
10318,31,100.0,9,3100.0,2004-11-02,Shipped,Planes,84,182581,Diecast Classics Inc.,Allentown,70267,USA,,Yu,Kyung,Medium,Q4,2004,2155551555,7586 Pompton St 
10327,45,100.0,8,4500.0,2004-11-10,Resolved,Planes,84,182581,Danish Wholesale Imports,Kobenhavn,1734,Denmark,EMEA,Petersen,Jytte,Medium,Q4,2004,31123555,Vinb'ltet 34
10339,27,100.0,2,2700.0,2004-11-23,Shipped,Planes,84,182581,"Tokyo Collectables, Ltd",Minato-ku,1060032,Japan,JP,Shimamura,Akiko,Small,Q4,2004,81335840555,2-2-8 Roppongi
10353,27,100.0,1,2700.0,2004-12-04,Shipped,Planes,84,182581,Gift Ideas Corp.,Glendale,97561,USA,,Lewis,Dan,Medium,Q4,2004,2035554407,2440 Pompton St 
10374,42,69.27,2,2909.3399999999997,2005-02-02,Shipped,Planes,84,182581,"Australian Gift Network, Co",South Brisbane,4101,Australia,APAC,Calaghan,Tony,Small,Q1,2005,61738446555,31 Duncan St  West End
10386,21,74.77,18,1570.1699999999998,2005-03-01,Resolved,Planes,84,182581,Euro Shopping Channel,Madrid,28034,Spain,EMEA,Freyre,Diego,Small,Q1,2005,915559444,  Moralzarzal  86
10398,34,76.88,15,2613.92,2005-03-30,Shipped,Planes,84,182581,Reims Collectables,Reims,51100,France,EMEA,Henriot,Paul,Small,Q1,2005,26471555,59 rue de l'Abbaye
10401,42,76.03,3,3193.26,2005-04-03,On Hold,Planes,84,182581,Tekni Collectables Inc.,Newark,94019,USA,,Brown,William,Medium,Q2,2005,2015559350,7476 Moss Rd 
10416,15,98.84,4,1482.6000000000001,2005-05-10,Shipped,Planes,84,182581,L'ordine Souveniers,Reggio Emilia,42100,Italy,EMEA,Moroni,Maurizio,Small,Q2,2005,0522556555,Strada Provinciale 124
10107,29,70.87,6,2055.23,2003-02-24,Shipped,Motorcycles,60,182625,Land of Toys Inc.,NYC,10022,USA,,Yu,Kwai,Small,Q1,2003,2125557818,897 Long Airport Avenue
10120,46,58.15,4,2674.9,2003-04-29,Shipped,Motorcycles,60,182625,"Australian Collectors, Co.",Melbourne,3004,Australia,APAC,Ferguson,Peter,Small,Q2,2003,0395204555,636 St Kilda Road
10134,30,61.78,6,1853.4,2003-07-01,Shipped,Motorcycles,60,182625,Lyon Souveniers,Paris,75508,France,EMEA,Da Cunha,Daniel,Small,Q3,2003,33146627555,27 rue du Colonel Pierre Avia
10145,30,49.67,10,1490.1000000000001,2003-08-25,Shipped,Motorcycles,60,182625,Toys4GrownUps.com,Pasadena,90003,USA,,Young,Julie,Small,Q3,2003,6265557265,78934 Hillside Dr 
10159,42,51.48,18,2162.16,2003-10-10,Shipped,Motorcycles,60,182625,Corporate Gift Ideas Co.,San Francisco,,USA,,Brown,Julie,Small,Q4,2003,6505551386,7734 Strong St 
10168,46,61.18,5,2814.28,2003-10-28,Shipped,Motorcycles,60,182625,Technics Stores Inc.,Burlingame,94217,USA,,Hirano,Juri,Small,Q4,2003,6505556809,9408 Furth Circle
10180,25,64.2,13,1605.0,2003-11-11,Shipped,Motorcycles,60,182625,Daedalus Designs Imports,Lille,59000,France,EMEA,Rance,Martine,Small,Q4,2003,20161555,184  chausse de Tournai
10188,32,65.42,5,2093.44,2003-11-18,Shipped,Motorcycles,60,182625,Herkku Gifts,Bergen,5804,Norway,EMEA,Oeztan,Veysel,Small,Q4,2003,4722673215,Drammen 121  PR 744 Sentrum
10201,30,64.81,6,1944.3000000000002,2003-12-01,Shipped,Motorcycles,60,182625,Mini Wheels Co.,San Francisco,,USA,,Murphy,Julie,Small,Q4,2003,6505555787,5557 North Pendale Street
10210,40,49.67,3,1986.8000000000002,2004-01-12,Shipped,Motorcycles,60,182625,Osaka Souveniers Co.,Osaka,5300003,Japan,JP,Kentary,Mory,Small,Q1,2004,810663425555,Dojima Avanza 4F  1-6-20 Dojima  Kita-ku
